	model_id	mean_residual_deviance	rmse	mse	mae	rmsle	system_date	runtime
0	GBM_1_AutoML_20190416_015849	25146739460939084	158577235.00218776	25146739460939084	96028946.2887346	0.3325625379269681	2019-04-16	1500
1	XGBoost_grid_1_AutoML_20190416_021340_model_7	25287291314391604	159019782.77683443	25287291314391604	94756821.10638298	0.3265109694820456	2019-04-16	1500
2	XGBoost_1_AutoML_20190416_023643	25390018062395390	159342455.30427662	25390018062395390	95017086.1643897	0.32542248561132664	2019-04-16	1500
3	XGBoost_1_AutoML_20190416_015849	25430683883193010	159470009.35346118	25430683883193010	94624321.24165732	0.3254745865205184	2019-04-16	1500
4	XGBoost_grid_1_AutoML_20190416_023643_model_1	25436478336570268	159488176.16541442	25436478336570268	93492665.80694291	0.3256016072894893	2019-04-16	1500
5	XGBoost_1_AutoML_20190416_021340	25444619375119092	159513696.5126164	25444619375119092	94909111.0844345	0.3247477245623427	2019-04-16	1500
6	XGBoost_grid_1_AutoML_20190416_022142_model_9	25445077879451860	159515133.70038548	25445077879451860	93976353.33303472	0.32974511411594026	2019-04-16	1500
7	GBM_grid_1_AutoML_20190416_023844_model_54	25498712284597024	159683162.18248254	25498712284597024	94706721.71116844	0.3302337330210292	2019-04-16	1500
8	XGBoost_grid_1_AutoML_20190416_022142_model_3	25605051932525788	160015786.51034963	25605051932525788	93655971.06203808	0.3230117653534213	2019-04-16	1500
9	XGBoost_grid_1_AutoML_20190416_020809_model_4	25650591781436650	160158021.2834707	25650591781436650	94959937.13863382	0.3256110044640297	2019-04-16	1500
10	XGBoost_grid_1_AutoML_20190416_022142_model_14	25668110357786624	160212703.48441982	25668110357786624	95048095.65778276	0.32606671705433715	2019-04-16	1500
11	XGBoost_grid_1_AutoML_20190416_022142_model_16	25781216032985580	160565301.4601398	25781216032985580	93900215.69540872	0.3268410911874458	2019-04-16	1500
12	XGBoost_grid_1_AutoML_20190416_023844_model_6	25899491263707040	160933188.81979266	25899491263707040	94963875.85397536	0.3268196866884665	2019-04-16	1500
13	XGBoost_1_AutoML_20190416_022142	25937422774155144	161050994.32836527	25937422774155144	94928749.03740202	0.3254774090437719	2019-04-16	1500
14	GBM_1_AutoML_20190416_020809	25964562050560844	161135229.07967967	25964562050560844	97608203.53054428	0.334991125349722	2019-04-16	1500
15	XGBoost_grid_1_AutoML_20190416_023844_model_1	25985749054649596	161200958.60338297	25985749054649596	95320924.59216124	0.3255264177462727	2019-04-16	1500
16	GBM_grid_1_AutoML_20190416_021340_model_9	25998652512830424	161240976.53149593	25998652512830424	95539592.52258098	0.32993690143952065	2019-04-16	1500
17	GBM_grid_1_AutoML_20190416_023844_model_36	26074913780101628	161477285.64755362	26074913780101628	97672330.57122529	0.3339226827371736	2019-04-16	1500
18	XGBoost_grid_1_AutoML_20190416_023844_model_3	26075074113524544	161477782.10492158	26075074113524544	94100806.25487122	0.3250469935194902	2019-04-16	1500
19	XGBoost_1_AutoML_20190416_020809	26088676862485030	161519896.18150768	26088676862485030	95505214.75117579	0.3253468369950239	2019-04-16	1500
20	XGBoost_grid_1_AutoML_20190416_022142_model_6	26096871388238400	161545261.11352938	26096871388238400	95137034.78701007	0.3340204303048377	2019-04-16	1500
21	XGBoost_grid_1_AutoML_20190416_023844_model_12	26124760363642532	161631557.44978312	26124760363642532	94286085.69406494	0.3273746286909312	2019-04-16	1500
22	XGBoost_grid_1_AutoML_20190416_021340_model_6	26163254415399372	161750593.24589622	26163254415399372	94258641.51847704	0.32168225280342155	2019-04-16	1500
23	GBM_1_AutoML_20190416_022142	26185054804729228	161817968.1145738	26185054804729228	96979410.08741993	0.3323503737004983	2019-04-16	1500
24	XGBoost_2_AutoML_20190416_021340	26203618972139588	161875319.21864924	26203618972139588	95122340.0206047	0.325948763409034	2019-04-16	1500
25	XGBoost_grid_1_AutoML_20190416_020809_model_7	26209289749989464	161892834.15268713	26209289749989464	94906747.54580069	0.3272081282103748	2019-04-16	1500
26	GBM_1_AutoML_20190416_023643	26222466048864400	161933523.54859817	26222466048864400	97272612.9104713	0.3321645600514707	2019-04-16	1500
27	XGBoost_grid_1_AutoML_20190416_021340_model_8	26235333407713864	161973249.04969296	26235333407713864	95147860.00985442	0.32372215750963346	2019-04-16	1500
28	XGBoost_grid_1_AutoML_20190416_022142_model_1	26278270712274140	162105739.2946781	26278270712274140	93395943.42665172	0.3224053100418281	2019-04-16	1500
29	GBM_grid_1_AutoML_20190416_022142_model_19	26309762802019320	162202844.61753228	26309762802019320	96519483.71982668	0.33907219338637506	2019-04-16	1500
30	XGBoost_2_AutoML_20190416_015849	26397458426429430	162472946.7524653	26397458426429430	94996162.43673012	0.3265386957777082	2019-04-16	1500
31	XGBoost_2_AutoML_20190416_023844	26420210927983480	162542951.02520895	26420210927983480	95365306.79417694	0.3271295747028384	2019-04-16	1500
32	XGBoost_2_AutoML_20190416_022142	26421353457477156	162546465.5336349	26421353457477156	95198321.3912654	0.3256217615277969	2019-04-16	1500
33	GBM_grid_1_AutoML_20190416_022142_model_22	26421406078199136	162546627.39718452	26421406078199136	95522427.40957417	0.3279514930585443	2019-04-16	1500
34	XGBoost_1_AutoML_20190416_023844	26422382255336908	162549630.12980655	26422382255336908	95688616.65218364	0.3275281336221339	2019-04-16	1500
35	GBM_1_AutoML_20190416_023844	26434133035086560	162585771.31805402	26434133035086560	97565813.36519524	0.3323587902012228	2019-04-16	1500
36	XGBoost_grid_1_AutoML_20190416_023844_model_11	26446023540757612	162622334.07732657	26446023540757612	97014569.1681971	0.3305761252811625	2019-04-16	1500
37	XGBoost_2_AutoML_20190416_023643	26462433984366080	162672781.94082156	26462433984366080	95064362.3131019	0.3260678866695132	2019-04-16	1500
38	GBM_grid_1_AutoML_20190416_023844_model_57	26470402339927000	162697272.0727886	26470402339927000	95492859.30934404	0.32677317147372026	2019-04-16	1500
39	GBM_1_AutoML_20190416_021340	26478298633983372	162721537.09322983	26478298633983372	97863201.38082694	0.3335275140291422	2019-04-16	1500
40	XGBoost_grid_1_AutoML_20190416_023844_model_9	26531906190767484	162886175.5667665	26531906190767484	98835793.50324748	0.33497712335227225	2019-04-16	1500
41	XGBoost_grid_1_AutoML_20190416_023844_model_4	26582238344449570	163040603.36140063	26582238344449570	99214116.59484884	0.33728512417795153	2019-04-16	1500
42	XGBoost_grid_1_AutoML_20190416_015849_model_3	26628202489753070	163181501.67758927	26628202489753070	95208478.14199328	0.32646039058643644	2019-04-16	1500
43	XGBoost_grid_1_AutoML_20190416_022142_model_20	26664820967957708	163293664.81268558	26664820967957708	94962004.59932809	0.3231620456822121	2019-04-16	1500
44	XGBoost_grid_1_AutoML_20190416_022142_model_2	26722293557990950	163469549.32950342	26722293557990950	98778375.09070548	0.33505927413311354	2019-04-16	1500
45	GBM_grid_1_AutoML_20190416_021340_model_7	26741315355422980	163527720.44954023	26741315355422980	98155567.38730218	0.3585041456238243	2019-04-16	1500
46	GBM_4_AutoML_20190416_023643	26786040657774400	163664414.7570705	26786040657774400	97966317.246487	0.3331412341024153	2019-04-16	1500
47	GBM_2_AutoML_20190416_020809	26790696006005864	163678636.37630248	26790696006005864	99095111.83379896	0.3348152369491441	2019-04-16	1500
48	GBM_grid_1_AutoML_20190416_015849_model_7	26802014565231010	163713208.27969566	26802014565231010	97371084.02584428	0.3566645052432887	2019-04-16	1500
49	XGBoost_grid_1_AutoML_20190416_022142_model_5	26804418077306000	163720548.7326072	26804418077306000	98964168.75162372	0.3355735316611883	2019-04-16	1500
50	GBM_grid_1_AutoML_20190416_022142_model_30	26835445213947980	163815277.71837392	26835445213947980	97936298.37825678	0.3452055646248053	2019-04-16	1500
51	DRF_1_AutoML_20190416_021340	26864263925279030	163903215.11574757	26864263925279030	98306040.955153	0.3352818522137272	2019-04-16	1500
52	GBM_2_AutoML_20190416_022142	26888807261380156	163978069.4525343	26888807261380156	99314990.16468146	0.3343451611924603	2019-04-16	1500
53	GBM_4_AutoML_20190416_015849	26926564934872772	164093159.3177265	26926564934872772	97925160.3329406	0.33285590174880264	2019-04-16	1500
54	XGBoost_2_AutoML_20190416_020809	26952706603932320	164172794.9568147	26952706603932320	95513126.26830909	0.32517140178330245	2019-04-16	1500
55	GBM_grid_1_AutoML_20190416_023844_model_42	26975114013676020	164241024.1494981	26975114013676020	97747667.70423488	0.3321945229891443	2019-04-16	1500
56	GBM_2_AutoML_20190416_023643	26982016113503264	164262034.91221964	26982016113503264	99500759.57207468	0.3341620145365198	2019-04-16	1500
57	GBM_2_AutoML_20190416_023844	26985064640058304	164271314.1119237	26985064640058304	99733975.81989688	0.3346139591471576	2019-04-16	1500
58	GBM_4_AutoML_20190416_020809	26988357514766430	164281336.47729567	26988357514766430	97566053.13398948	0.33274044796307234	2019-04-16	1500
59	XGBoost_grid_1_AutoML_20190416_021340_model_10	27011332400653532	164351247.0310266	27011332400653532	97007786.637402	0.32867362308250625	2019-04-16	1500
