transaction_real_price,city,exclusive_use_area,floor,total_parking_capacity_in_site,total_household_count_in_sites,apartment_building_count_in_sites,supply_area,total_household_count_of_area_type,room_count,bathroom_count,heat_fuel_cogeneration,heat_fuel_gas,heat_type_central,heat_type_district,heat_type_individual,front_door_structure_corridor,front_door_structure_mixed,front_door_structure_stairway
334000000,1,84.94,12,3481.0,2678,25,102.02,2254,3.0,2.0,0,1,0,0,1,0,0,1
400000000,1,114.88,17,1665.0,2017,22,137.59,325,4.0,2.0,0,1,0,0,1,0,0,1
290000000,0,84.96,7,1761.0,1326,9,109.77,209,3.0,2.0,0,1,0,0,1,0,0,1
156500000,0,85.0,3,2381.0,1391,14,107.24,138,3.0,2.0,0,1,0,0,1,0,0,1
380000000,0,140.293,14,664.0,388,5,166.53,130,5.0,2.0,0,1,0,0,1,0,0,1
87000000,0,60.0,6,200.0,124,2,85.95,64,3.0,1.0,1,0,0,1,0,1,0,0
1530000000,1,219.82,35,1081.0,445,2,279.31,4,3.0,4.0,1,0,0,0,1,0,0,1
115000000,0,49.42,11,340.0,720,5,69.02,720,2.0,1.0,0,1,0,0,1,1,0,0
398000000,1,59.97,2,302.0,636,9,81.55,323,2.0,1.0,0,1,0,0,1,1,0,0
94500000,0,45.5,4,230.0,996,7,63.17,996,3.0,1.0,0,1,0,0,1,1,0,0
600000000,1,114.93,13,935.0,787,11,137.03,199,4.0,2.0,0,1,0,0,1,0,0,1
112000000,0,83.88,7,71.0,190,1,99.9,103,3.0,2.0,0,1,0,0,1,0,1,0
1520000000,1,84.99,9,7876.0,5563,65,109.2,1201,3.0,2.0,1,0,0,1,0,0,0,1
380000000,0,131.27,4,3240.0,3060,33,157.99,576,4.0,2.0,0,1,1,0,0,0,0,1
290000000,0,212.828,8,384.0,192,2,259.43,24,6.0,2.0,1,0,1,0,0,0,0,1
1400000000,1,221.44,6,938.0,312,3,267.22,35,5.0,3.0,1,0,0,1,0,0,0,1
177000000,0,59.8,1,1992.0,1680,19,79.22,360,3.0,1.0,0,1,0,0,1,0,0,1
205000000,0,59.77,21,865.0,981,9,82.58,441,3.0,1.0,0,1,0,0,1,0,0,1
185000000,0,114.98,7,1989.0,1901,15,134.96,344,4.0,2.0,0,1,0,0,1,0,0,1
370000000,1,58.01,2,823.0,2646,28,80.26,1300,2.0,1.0,1,0,0,1,0,1,0,0
519000000,1,84.789,8,411.0,362,6,107.67,362,3.0,2.0,0,1,0,0,1,0,0,1
708000000,1,59.82,3,711.0,630,8,88.68,286,2.0,1.0,1,0,0,1,0,1,0,0
66000000,0,48.69,2,100.0,150,2,59.04,35,2.0,1.0,0,1,0,0,1,1,0,0
220000000,1,43.2,9,680.0,2256,20,59.34,792,2.0,1.0,1,0,0,1,0,1,0,0
800000000,0,125.4155,38,4599.0,2752,14,166.76,470,4.0,2.0,0,1,0,0,1,0,0,1
105000000,0,69.99,2,214.0,214,2,95.87,4,3.0,1.0,0,1,0,0,1,0,0,1
360000000,1,59.95,19,515.0,654,4,91.7,340,3.0,1.0,0,1,0,0,1,1,0,0
575000000,1,84.95,13,4890.0,3293,51,112.13,36,3.0,2.0,1,0,0,1,0,0,0,1
410000000,1,59.885,14,1002.0,859,11,78.61,226,3.0,2.0,0,1,0,0,1,0,0,1
231000000,1,59.94,1,554.0,529,7,81.93,64,3.0,1.0,0,1,0,0,1,0,0,1
185000000,0,59.84,19,1109.0,1094,9,78.82,450,3.0,1.0,0,1,0,0,1,0,0,1
490000000,1,59.92,7,551.0,657,7,83.98,114,3.0,2.0,1,0,0,1,0,0,0,1
1530000000,1,197.22,3,490.0,122,2,234.66,52,3.0,2.0,0,1,0,0,1,0,0,1
378000000,1,51.429,4,391.0,386,9,70.26,12,2.0,1.0,0,1,0,0,1,0,0,1
154000000,0,59.9358,16,759.0,748,7,80.55,200,3.0,2.0,0,1,0,0,1,0,0,1
439000000,0,84.86,14,638.0,514,6,111.51,157,3.0,2.0,0,1,0,0,1,0,0,1
710000000,1,84.92,7,214.0,214,2,97.9,64,3.0,2.0,1,0,0,1,0,0,0,1
260000000,1,38.22,9,86.0,168,1,52.48,56,1.0,1.0,0,1,0,0,1,0,1,0
65500000,0,60.48,8,198.0,383,3,80.66,98,3.0,1.0,0,1,0,0,1,0,0,1
562500000,1,84.95,10,4890.0,3293,51,108.36,34,3.0,2.0,1,0,0,1,0,0,0,1
500000000,1,79.43,2,1013.0,801,13,109.12,252,3.0,2.0,0,1,0,0,1,0,0,1
395000000,0,84.92,16,1427.0,1420,13,114.15,520,3.0,2.0,0,1,0,0,1,0,0,1
725000000,1,84.971,16,2237.0,2407,30,111.98,784,3.0,2.0,1,0,0,1,0,0,0,1
293300000,0,147.19799999999995,7,1497.0,1280,11,183.07,134,4.0,2.0,0,1,0,0,1,0,0,1
155000000,0,59.99,11,1430.0,1500,10,75.55,600,3.0,1.0,0,1,0,0,1,0,0,1
410000000,1,59.828,11,777.0,517,7,84.65,109,3.0,1.0,0,1,0,0,1,0,0,1
320000000,0,155.31,5,1093.0,1002,12,182.52,108,5.0,2.0,1,0,0,1,0,0,0,1
182730000,0,84.6588,14,918.0,712,15,111.48,46,3.0,2.0,0,1,0,0,1,0,0,1
280000000,0,72.5,4,450.0,474,3,97.09,26,0.0,0.0,0,1,1,0,0,0,0,1
900000000,1,84.89,8,2173.0,2036,19,111.3,308,3.0,2.0,1,0,0,1,0,0,0,1
244000000,1,58.59,8,480.0,427,4,81.11,138,2.0,1.0,1,0,0,1,0,1,0,0
660000000,1,84.96,14,281.0,330,5,105.47,132,3.0,2.0,0,1,1,0,0,0,0,1
327000000,0,84.9,21,882.0,1038,9,107.93,601,3.0,2.0,0,1,0,0,1,0,0,1
152310000,0,84.6588,1,918.0,712,15,111.33,152,3.0,2.0,0,1,0,0,1,0,0,1
610000000,1,82.56,2,147.0,119,2,110.3,62,3.0,2.0,0,1,0,0,1,0,0,1
287000000,1,84.92,9,347.0,488,6,103.92,413,3.0,2.0,0,1,0,0,1,0,0,1
500000000,1,127.02,2,1335.0,1335,16,147.77,280,4.0,2.0,0,1,0,0,1,0,0,1
68000000,0,28.8,12,265.0,512,1,38.54,112,1.0,1.0,0,1,0,0,1,0,0,1
405000000,1,84.87799999999999,3,1054.0,886,11,110.77,200,3.0,2.0,0,1,0,0,1,0,0,1
750000000,0,109.57,16,1009.0,564,4,140.76,59,3.0,2.0,0,1,0,0,1,0,0,1
