	model_id	mean_residual_deviance	rmse	mse	mae	rmsle	system_date	runtime
0	GBM_1_AutoML_20190415_201144	25807420914292300	160646882.67841458	25807420914292300	96657067.80013938	0.3304998893638347	2019-04-16	20
1	XGBoost_1_AutoML_20190415_201144	25905012728800900	160950342.43144965	25905012728800900	94697722.63292274	0.3236193246529425	2019-04-16	20
2	XGBoost_1_AutoML_20190415_220045	25937317500717730	161050667.4954119	25937317500717730	95414392.8806271	0.3259215212024291	2019-04-16	20
3	XGBoost_1_AutoML_20190415_220145	26020146726496000	161307615.215451	26020146726496000	95337425.69496079	0.3263130461520521	2019-04-16	20
4	GBM_grid_1_AutoML_20190415_201144_model_3	26091633496498708	161529048.46032712	26091633496498708	95912165.833989	0.3299769181592581	2019-04-16	20
5	XGBoost_1_AutoML_20190416_013912	26180578769931110	161804137.06061757	26180578769931110	95895557.05083989	0.3279585894909296	2019-04-16	20
6	GBM_4_AutoML_20190415_201144	26502756309439276	162796671.67801458	26502756309439276	97334748.86643134	0.33076106615065937	2019-04-16	20
7	XGBoost_1_AutoML_20190415_195347	26551334347987200	162945801.87285343	26551334347987200	95427788.09854424	0.3255890784904734	2019-04-16	20
8	XGBoost_2_AutoML_20190415_201144	26671344829807450	163313639.44817176	26671344829807450	95592206.60694288	0.3274849735522958	2019-04-16	20
9	XRT_1_AutoML_20190415_201144	27175120541962230	164848780.83250186	27175120541962230	98993905.75471868	0.3370161503671445	2019-04-16	20
10	GBM_3_AutoML_20190415_201144	27626214970063588	166211356.32099146	27626214970063588	99439646.29231746	0.333842702145512	2019-04-16	20
11	GBM_2_AutoML_20190415_201144	27629884014206836	166222393.2393191	27629884014206836	101001854.52511343	0.3389390101182214	2019-04-16	20
12	DRF_1_AutoML_20190415_201144	27689257829007456	166400894.91648608	27689257829007456	98925123.33433875	0.34011042871349645	2019-04-16	20
13	XGBoost_2_AutoML_20190415_220145	27767444744508530	166635664.68349004	27767444744508530	95919043.78230684	0.3258169047618372	2019-04-16	20
14	XGBoost_3_AutoML_20190415_201144	28491241608315788	168793488.0506822	28491241608315788	103097704.64412096	0.34644867639081456	2019-04-16	20
15	XGBoost_grid_1_AutoML_20190415_201144_model_1	28958556869355844	170172138.93395078	28958556869355844	98126250.91601343	0.3287230575353961	2019-04-16	20
16	XGBoost_2_AutoML_20190415_220045	29011965553104676	170328992.1096954	29011965553104676	97250448.84300113	0.32725734645241444	2019-04-16	20
17	XGBoost_2_AutoML_20190416_013912	29980469016308060	173148690.48395386	29980469016308060	98310241.17715566	0.3287560985258082	2019-04-16	20
18	GBM_grid_1_AutoML_20190415_201144_model_7	30672986364932924	175137050.23476022	30672986364932924	106643578.95715132	0.3733435285580157	2019-04-16	20
19	GBM_grid_1_AutoML_20190415_201144_model_8	32057516576492710	179046129.7445234	32057516576492710	111959809.04166225		2019-04-16	20
20	GBM_grid_1_AutoML_20190415_201144_model_6	33313708594315348	182520433.36107692	33313708594315348	115311286.70162071	0.3965520463959777	2019-04-16	20
